A Christmas Carol,235715198,163199641.6,68863216,4303951,16,7309,445,105,7361,1895,383312822
Jupiter Ascending,187705626,195012426.8,172316740,17231674,10,35535,3403,106,302,57,196224603
The Legend of Tarzan,189508055,178432466.5,785946304,49121644,16,182147,11025,113,2506,1947,375587131
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",232680291,241840215.1,64619600,4038725,16,5083,303,45,23,3,967959004
X-Men: Apocalypse,187402410,87665906.5,1366878320,85429895,16,429236,26712,83,2975,596,572666798
The Dark Knight,217164412,162423943.6,239198589,8859207,27,61233,2235,109,6894,1249,1179212670
Up,206250798,497327894.7,84891444,7717404,11,10763,921,104,10129,2639,866370129
Monsters vs Aliens,206250798,375610895.3,6355311,2118437,3,1824,470,117,584,130,449638373
Iron Man,164340636,165794165.5,159084240,5302808,30,19836,643,111,17905,4264,686913599
Hugo,191087864,269922114.6,7763900,456700,17,1667,95,86,460,96,208814253
The Mummy: Tomb of the Dragon Emperor,170209945,95936745.24,36205620,3291420,11,6080,548,70,70,14,470869541
Suicide Squad,184243942,56372238.91,4403272950,146775765,30,1005219,33292,103,2400,537,784352783
Evan Almighty,213231975,207340856.7,117982233,13109137,9,41271,4397,99,1688,880,210795039
Edge of Tomorrow,190028480,155195387.1,244016912,15251057,16,44524,2734,77,6772,1635,395580852
G.I. Joe: The Rise of Cobra,206250798,192110540.8,4448976,635568,7,2020,267,64,70,36,356482721
Inside Out,186639114,287336364,440044881,25884993,17,67257,3954,115,567,124,914650225
The Jungle Book,184243942,135013881.5,473351634,22540554,21,64547,3034,91,7166,1192,1017606246
Iron Man 2,232003148,163479145.8,134951124,6134142,22,14149,629,119,2077,477,723772484
Snow White and the Huntsman,187157555,164461419.7,32370075,2158005,15,8675,549,119,896,506,436627567
Maleficent,192163631,200179268.9,380354673,20018667,19,57217,2872,79,1599,370,809798665
Dawn of the Planet of the Apes,181487874,185556571.1,331625760,20726610,16,61384,3620,120,1103,327,758666891
47 Ronin,189814965,181734862.5,378282040,18914102,20,49140,2411,76,2383,416,163742496
Captain America: The Winter Soldier,181487874,260334025.9,1505599350,60223974,25,205612,8162,24,339,115,763067445
Shrek Forever After,191402597,347316016.9,53654280,8942380,6,5794,925,113,4542,866,873028851
Tomorrowland,202636752,82885868.66,308023117,16211743,19,43301,2184,117,893,458,223065013
Big Hero 6,176149995,317552641.8,516818694,36915621,14,100309,6756,89,3426,670,696171944
Wreck-It Ralph,181652921,378419982.5,689413472,31336976,22,224727,10195,119,3198,396,518781905
The Polar Express,220542136,466214933.3,8727990,1454665,6,14281,2257,5,49,11,408839314
Independence Day: Resurgence,173715717,105258037.1,548093378,39149527,14,135405,9305,97,1336,1090,410265920
How to Train Your Dragon,191402597,320730047.9,1288121042,37885913,34,548778,15723,116,42875,15218,574067149
Terminator 3: Rise of the Machines,274541544,154835772.3,5827619,832517,7,430,60,64,155,29,597127858
Guardians of the Galaxy,181487874,206190375.9,323585257,17030803,19,64710,3270,120,2011,345,825586876
Interstellar,176149995,179724956.5,431703628,14886332,29,48506,1628,120,3615,549,720741745
Inception,185602518,290395466.4,377639680,9440992,40,36226,904,120,6380,1234,957630999
シン・ゴジラ,15792338,9617061.075,221688775,8867551,25,673,26,110,1080,265,81067335
The Hobbit: An Unexpected Journey,275231699,580240966.8,1160996811,29769149,39,119595,3028,90,161,76,1124160279
The Fast and the Furious,54216442,165187984.1,16291128,2715188,6,13684,2029,20,57,11,295742024
The Curious Case of Benjamin Button,176079253,150240698.5,8470784,605056,14,5479,375,116,3250,1059,391990078
X-Men: First Class,179847401,196980363,426057240,17752385,24,36394,1494,96,2224,738,397489874
The Hunger Games: Mockingjay - Part 2,170641475,276123191.6,1359849920,33996248,40,224659,5507,116,1351,1330,696887266
The Sorcerer's Apprentice,174002361,206889455.9,49985010,3332334,15,5200,345,115,2881,678,249732529
Poseidon,200413688,147161568.7,109188520,7799180,14,29300,2040,120,4321,1723,227563250
Alice Through the Looking Glass,178979830,191890349.4,459191670,15306389,30,91935,3051,116,4608,1676,315183569
Shrek the Third,194954949,432824299.8,2492916,1246458,2,3986,1414,116,489,144,973505302
Warcraft,168451604,174524571.3,1276021096,45572182,28,371920,12844,111,27411,5760,456585108
