name, views1, likes1, dislikes1, views2, likes2, dislikes2, views3, likes3, dislikes3
2 Fast 2 Furious,2247022,3420,147,1380164,4427,261,14200,42,1
The Little Prince,5033191,39655,504,1073066,15129,244,36029,331,9
The Invasion,252544,928,53,4692737,30954,1220,-1,38,21
The Adventures of Rocky & Bullwinkle,29746,179,3,-1,258,57,174158,507,48
The Secret Life of Pets,9696444,25034,1477,3598773,14650,518,-1,34605,11918
The League of Extraordinary Gentlemen,370730,521,26,121451,254,18,-1,365,70
Despicable Me 2,7096628,13692,2148,7185710,7394,1491,-1,30485,12600
Madagascar,839219,949,132,645960,,,-1,4359,1704
Children of Men,3204895,9027,412,14893,44,2,8236,71,3
X-Men,12857054,149008,8186,9467128,91348,4608,-1,1501,465
Wanted,2606918,7167,342,250034,698,27,17867419,65409,4341
Ice Age: The Meltdown,140122,162,19,412231,,,-1,1933,664
50 First Dates,125415,1203,29,23998,90,21,343307,,
Hairspray,860116,3985,103,545822,1025,57,17847,53,4
Exorcist: The Beginning,605105,582,74,46570,111,13,-1,1747,491
Now You See Me,5878057,16380,527,11696320,34714,1103,9419204,48488,1231
Grown Ups,5560074,6361,483,3648025,12742,960,515965,702,37
The Terminal,521327,,,90161,238,21,4669033,22951,2237
Hotel for Dogs,277211,,,76267,149,14,50520,140,11
Vertical Limit,278872,430,44,391387,649,59,-1,71,24
Charlie Wilson's War,346527,635,44,1214847,4497,120,-1,124,40
Shark Tale,1041963,,,816825,594,91,-1,3561,938
Dreamgirls,499061,1671,43,3036891,11457,326,371148,,
Be Cool,241330,364,38,76986,259,14,259546,1478,39
Munich,154275,316,25,59070,300,16,-1,116,27
Tears of the Sun,446528,,,94253,168,27,-1,452,120
Killers,551418,1958,76,1067394,637,106,-1,126,50
The Man from U.N.C.L.E.,8195014,25931,729,6701213,26120,1142,4391756,5795,333
Spanglish,98152,549,15,1168595,1519,98,21620,34,5
Monster House,1348178,,,332368,409,53,657002,3485,405
Bandits,104847,172,14,176268,236,15,-1,32,17
Immortals,2934317,6839,496,263291,765,62,-1,856,178
Hostage,187213,201,10,115036,218,14,1697673,3653,413
Titan A.E.,317198,1317,90,86514,306,12,13377,26,1
Hollywood Homicide,113827,196,13,13223,,,-1,28,5
Carriers,63596,104,10,153620,467,33,4689888,24605,1028
Monkeybone,155128,532,34,27194,93,7,-1,106,14
Flight of the Phoenix,175257,220,21,109912,144,12,1409767,5709,452
Unbreakable,5408258,11473,490,21825605,229118,6696,-1,,
Minions,29112249,75692,4443,30201783,47148,5593,23263831,53823,6482
Sucker Punch,1366489,6612,271,926305,3396,157,197722,631,30
The Angry Birds Movie,36417655,119066,15890,3850198,9459,596,-1,11528,3493
Fool's Gold,634403,936,36,126964,159,7,-1,74,14
Funny People,2506094,3135,275,50879,55,5,-1,311,136
The Kingdom,578658,710,104,1607170,18632,402,-1,233,46
Talladega Nights: The Ballad of Ricky Bobby,378302,,,58956,129,7,16329,69,3
Dr. Dolittle 2,131535,229,19,-1,53,5,-1,375,91
Jarhead,2273088,7491,252,609706,1988,62,6365892,39900,1627
The Simpsons Movie,103716,339,20,228593,1277,63,-1,3925,1952
The Majestic,118250,468,24,33286,62,2,-1,46,13
Driven,180845,440,31,211337,210,24,3108,57,10
Deux frères,6352,14,0,118608,317,16,-1,176,27
The Village,460207,1001,69,-1,-1,-1,513026,,
Signs,533299,1452,72,1082890,8397,369,-1,,
Shrek 2,2732461,2045,316,175897,259,37,-1,5996,1828
Cars,4036460,4408,931,3032275,4433,737,-1,,
xXx,742330,494,123,16528259,44165,4100,-1,1387,674
The SpongeBob Movie: Sponge Out of Water,6826041,31240,2182,3834134,10479,1298,-1,14713,4046
Inglourious Basterds,950204,2443,112,2862126,8510,479,-1,754,132
S.W.A.T.,108502,320,22,120157,536,16,-1,543,94
Vanilla Sky,1912095,4520,246,166235,,,-1,226,50
Lady in the Water,255843,976,88,63797,149,10,373321,349,68
AVP: Alien vs. Predator,1049118,2546,129,730307,1626,76,167190,502,47
Alvin and the Chipmunks: The Squeakquel,5792616,6594,1271,369086,791,66,-1,3958,1499
We Were Soldiers,224306,573,26,603956,922,81,-1,1333,218
Olympus Has Fallen,4356038,9929,730,2262511,11572,837,-1,1268,309
Battle: Los Angeles,1102577,3562,184,1452369,3099,166,257978,752,37
Big Fish,2526271,,,173851,193,27,-1,469,77
War Horse,841587,3320,98,740470,1305,64,187181,582,19
The Monuments Men,324038,1259,160,209377,1678,49,122742,329,25
Wall Street: Money Never Sleeps,351577,807,32,1391421,931,99,58373,102,17
Dracula Untold,13434569,47386,3156,535222,3078,102,416404,568,26
Stardust,2239762,,,146710,543,36,78467,196,6
The Dilemma,3726681,2911,232,233459,285,21,34529,56,5
Bad Company,58230,640,10,19256,239,3,-1,,
Doom,772406,3145,64729,3164676,36486,721,-1,209,79
I Spy,175053,,,21357,41,5,9898725,26124,1077
Underworld: Awakening,4196191,8838,280,248501,787,30,414767,872,72
Rock of Ages,362607,1386,81,3076746,5302,3771,1158476,1835,221
Hart's War,177803,314,16,746787,3286,110,-1,40,15
Killer Elite,1466490,2367,108,3995053,4057,196,123321,,
Rollerball,339715,817,43,64261,120,24,34972,57,21
Ballistic: Ecks vs. Sever,226843,159,189,33097,57,21,-1,23,7
Osmosis Jones,155129,936,26,1061347,2020,148,256302,1795,169
Legends of Oz: Dorothy's Return,212345,377,116,75506,190,26,-1,204,53
Blackhat,3172766,4149,442,4186978,1415,263,1367952,674,128
Sky Captain and the World of Tomorrow,7208,49,4,319226,,,692091,508,61
Basic Instinct 2,196937,166,38,183915,82,15,2849146,2075,892
Escape Plan,7246772,14081,733,13469802,42349,2502,58446,302,27
The Legend of Hercules,11201120,27112,3590,913557,1706,652,7418624,11077,845
The Sum of All Fears,400078,486,54,112544,,,-1,156,34
The Twilight Saga: Eclipse,165589,851,22,22201871,36503,4598,-1,3917,623
The Score,306017,392,25,740658,528,34,-1,107,28
Despicable Me,17164525,15466,4873,5445280,,,29112249,75692,4443
Ted 2,31093568,137847,7518,1122351,3595,260,-1,4021,770
Agora,579504,,,427885,511,25,-1,96,13
Hall Pass,255520,316,27,74181,58,8,-1,537,90
The Finest Hours,8199760,9358,605,1331371,1425,140,546472,835,38
Body of Lies,178457,361,25,660728,1220,77,3647,5,0
Dinner for Schmucks,2843550,4542,288,14071,20,4,-1,148,55
Abraham Lincoln: Vampire Hunter,2587855,6084,494,718371,1756,131,-1,,
The Last Legion,250446,327,41,3149,,,5816621,7486,676
Need for Speed,2536862,11845,717,495567,8133,144,-1,,
What Women Want,1039721,,,7900836,36996,13715,31505,122,4
Ice Age,3089711,2641,453,-1,414,101,-1,6354,1927
Dreamcatcher,845933,1162,121,43473,84,11,246116,324,54
Lincoln,3480439,8634,499,104989,414,16,1269252,3291,155
The Santa Clause 2,141382,226,24,83462,126,11,-1,,
Les Misérables,3604663,15806,376,7705466,22058,842,-1,2396,260
Step Brothers,94822,240,14,1299173,2459,120,88052,,
Due Date,3976431,6481,227,131012,277,7,50256,103,5
Unbroken,9638128,35417,1202,92304,464,22,-1,1748,221
Space Cowboys,241113,304,41,3827,8,0,235956,626,27
